task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	28/81cdaa	2839896	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:32.524	1.4s	1s	194.1%	3.2 MB	5.4 MB	10.1 MB	760 B
4	48/32a635	2840288	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:33.936	635ms	0ms	37.9%	6.6 MB	12.9 MB	145.6 KB	4.8 KB
5	28/e88180	2840294	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:33.943	614ms	0ms	69.7%	3.2 MB	4.3 MB	167.4 KB	498 B
1	94/9db741	2840695	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2026-08-05 11:58:34.574	531ms	0ms	96.3%	3.1 MB	4.3 MB	122 KB	1.1 KB
8	b2/b9e76c	2840707	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_INDEXCOV:SAMTOOLS_REINDEX_BAM (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:34.581	912ms	1s	33.9%	8.3 MB	16.3 MB	14.1 MB	30.6 MB
2	3b/502254	2841407	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2026-08-05 11:58:35.125	515ms	31ms	87.7%	3.7 MB	4.6 MB	118.9 KB	3.2 KB
10	10/85afe0	2841973	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TABIX_BGZIP_TIDDIT_SV (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:35.499	518ms	39ms	73.7%	3.4 MB	4.6 MB	119 KB	3.2 KB
11	d2/c32dcf	2842055	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (wgs_calling_regions_noseconds.hg38.stub)	COMPLETED	0	2026-08-05 11:58:35.646	505ms	43ms	67.9%	3.6 MB	4.6 MB	118.9 KB	3.1 KB
14	21/2003e2	2842357	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_INDEXCOV:GOLEFT_INDEXCOV (indexcov)	COMPLETED	0	2026-08-05 11:58:36.026	554ms	0ms	65.2%	3.2 MB	5.4 MB	110.3 KB	3.5 KB
18	24/d678d6	2844398	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:46.820	1.6s	0ms	50.3%	2.7 MB	11 MB	270.6 KB	445 B
17	11/f13d4c	2844404	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:46.842	1.6s	0ms	46.2%	2.7 MB	11 MB	270.7 KB	447 B
16	ae/ee55d5	2845134	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (test_sample.chr22)	COMPLETED	0	2026-08-05 11:58:48.454	1.7s	1s	42.4%	2.8 MB	11 MB	270.5 KB	441 B
20	0d/874472	2848751	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (test_sample.chr22)	COMPLETED	0	2026-08-05 11:59:01.908	1.1s	0ms	50.0%	3.2 MB	5.4 MB	1.8 MB	537 B
22	c2/a9023a	2849251	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (test_sample.chr22)	COMPLETED	0	2026-08-05 11:59:03.065	1.6s	0ms	33.5%	2.7 MB	11 MB	289.6 KB	441 B
21	b3/cc158d	2849268	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (test_sample.chr22)	COMPLETED	0	2026-08-05 11:59:03.060	1.5s	0ms	45.1%	2.7 MB	11 MB	289.8 KB	447 B
23	b7/ca3700	2850392	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (test_sample.chr22)	COMPLETED	0	2026-08-05 11:59:04.628	2s	0ms	41.8%	2.8 MB	11 MB	289.7 KB	445 B
